sourcesiteid,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
ATLANTAGAWDC,34.506990181,34.506990181,33.2353315201,33.2490503173,35.8359395454,32.4761735308,8.48651284496e+13,3.81893078023e+16,17209428000.0,397072.775976,2.39726025088e+16,1.42167052935e+16
BURBANKCAWDC,31.5037801465,31.5037801465,30.9687680232,33.5590082591,33.8258659895,27.9553149305,7.74791523327e+13,3.48656185497e+16,16035789600.0,400774.411338,2.26279553479e+16,1.22376632018e+16
NASHVILLE2TNWDC,12.9257577997,12.9257577997,19.0283933129,11.9580074794,11.4469054334,15.1856467686,3.17890980995e+13,1.43050941448e+16,9853001300.0,142807.063049,7.65745554303e+15,6.64763860175e+15
BURBANK1WDC,10.3022102593,10.3022102593,4.41644643883,9.0216511267,8.68834430818,12.7684184782,2.53368489221e+13,1.14015820149e+16,2286859000.0,107739.98122,5.81210447395e+15,5.589477541e+15
ANAHEIMCAWDC,5.9349093873,5.9349093873,6.69757284436,6.97276445749,6.14763743241,5.60983179777,1.4596081688e+13,6.56823675962e+15,3468038150.0,83271.399121,4.11248792149e+15,2.45574883812e+15
ANAHEIM1WDC,1.39981828987,1.39981828987,0.65265951343,1.37562786699,1.13835455025,1.79937069578,3.44265780217e+12,1.54919601098e+15,337950500.0,16428.27,7.61507065069e+14,7.87688945909e+14
ANAHEIM2WDC,1.3902637003,1.3902637003,0.598675893406,1.36750553256,1.13159559714,1.78554399079,3.41915962204e+12,1.53862182992e+15,309997500.0,16331.27,7.56985634957e+14,7.81636194964e+14
UNKNOWNWDC,0.694660289095,0.694660289095,2.64608960857,0.824707429788,0.614828563506,0.816654100062,1.70842007239e+12,7.68789032574e+14,1370159000.0,9848.96908,4.11292153938e+14,3.57496878636e+14
HOUSTON2TXWDC,0.406882544085,0.406882544085,0.234726295452,0.481401385748,0.391989584553,0.429641026086,1.00067085499e+12,4.50301884747e+14,121542500.0,5749.078027,2.62223081558e+14,1.8807880319e+14
UNKNOWNWDC1,0.246982489058,0.246982489058,0.115426608715,0.339596049721,0.361282326096,0.0723166828238,6.07418976526e+11,2.73338539437e+14,59768500.0,4055.584893,2.41681331837e+14,3.16572075997e+13
FTWORTH1TXWDC,0.216415544125,0.216415544125,0.158855101374,0.28196657047,0.293577314281,0.0985017907534,5.32243839706e+11,2.39509727868e+14,82256000.0,3367.351783,1.96389779371e+14,4.31199484968e+13
KANSASCITYMOWDC,0.104471401432,0.104471401432,0.480201806697,0.110035276811,0.0488879502429,0.189410527916,2.5693283753e+11,1.15619776888e+14,248651000.0,1314.083031,3.27037999704e+13,8.29159769181e+13
ATLANTAWDC,0.121847745817,0.121847745817,0.253289260274,0.156611831366,0.0194773604323,0.278283715993,2.99667532458e+11,1.34850389606e+14,131154500.0,1870.31792,1.3029462196e+13,1.2182092741e+14
BURBANK2WDC,0.108640290586,0.108640290586,0.204491953403,0.140275286337,0.0177161603184,0.24758481519,2.67185638824e+11,1.20233537471e+14,105887000.0,1675.2207,1.1851299971e+13,1.083822375e+14
CHICAGOILWDC,0.00843684186471,0.00843684186471,0.0210368680614,0.0122142994485,0.00832653106086,0.00860541188186,20749235583.9,9.33715601276e+12,10893000.0,145.867799,5.57006798013e+12,3.76708803263e+12
PHOENIXWDC,0.0126204768452,0.0126204768452,0.157960942748,0.0202241664288,0.00508719426692,0.0241323644316,31038302180.0,1.3967235981e+13,81793000.0,241.52467,3.403100005e+12,1.0564135976e+13
FAIRFAXSCWDC,0.00717281530425,0.00717281530425,0.000575505983871,0.00616051484311,0.00423024523366,0.0116694654055,17640538596.6,7.93824236847e+12,298000.0,73.571206,2.8298403443e+12,5.10840202417e+12
NASHVILLEWDC,0.0270677812118,0.0270677812118,0.033284716886,0.0348899481023,0.0040331610327,0.0622678358152,66569431797.2,2.99562443087e+13,17235000.0,416.669,2.698000039e+12,2.72582442697e+13
HOUSTONWDC,0.0250947997095,0.0250947997095,0.0364364812003,0.0322775708895,0.00335888313818,0.0583102573215,61717159033.3,2.7772721565e+13,18867000.0,385.471,2.246939005e+12,2.552578256e+13
ORLANDO2FLWDC,0.00684003601718,0.00684003601718,0.00951033294488,0.00665342498834,0.00248431352286,0.0134961765763,16822114364.4,7.569951464e+12,4924500.0,79.457726,1.6618919818e+12,5.9080594822e+12
